epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2072,1.22216,2.85539,1.35212,0.38298,0.59735,0.42362,0.29755,1.00298,2.361,1.23716,0.00041351,0.00041351,0.00041351
2,87.5821,1.22337,2.27092,1.32979,0.46363,0.54587,0.41778,0.25939,1.2733,2.07847,1.37397,0.000813739,0.000813739,0.000813739
3,130.799,1.21375,2.01175,1.31018,0.44849,0.54164,0.40223,0.27361,1.21389,1.75294,1.32513,0.00119747,0.00119747,0.00119747
4,170.869,1.19682,1.82241,1.30643,0.54095,0.68121,0.56021,0.40005,0.92895,1.36682,1.17497,0.00117575,0.00117575,0.00117575
5,210.451,1.14207,1.68376,1.2764,0.49019,0.68902,0.57038,0.41322,0.948,1.51071,1.17514,0.001151,0.001151,0.001151
6,250.342,1.08993,1.59016,1.24566,0.60553,0.73465,0.62378,0.45664,0.87217,1.23319,1.10652,0.00112625,0.00112625,0.00112625
7,290.77,1.06645,1.52309,1.23031,0.60144,0.70447,0.59073,0.42928,0.86786,1.23329,1.1197,0.0011015,0.0011015,0.0011015
8,330.91,1.04274,1.48026,1.21502,0.62503,0.7717,0.67082,0.51761,0.78731,1.10863,1.06027,0.00107675,0.00107675,0.00107675
9,370.549,0.96795,1.39762,1.18078,0.60662,0.79403,0.69651,0.55698,0.71252,1.02158,1.0153,0.001052,0.001052,0.001052
10,410.653,0.97145,1.3635,1.17291,0.62729,0.78483,0.68022,0.52157,0.75339,1.04083,1.04249,0.00102725,0.00102725,0.00102725
11,452.296,0.94297,1.32682,1.17413,0.63633,0.83055,0.71107,0.55562,0.68899,0.95911,1.02151,0.0010025,0.0010025,0.0010025
12,493.071,0.89655,1.28656,1.1452,0.67185,0.81701,0.74614,0.59775,0.67403,0.92649,0.99662,0.00097775,0.00097775,0.00097775
13,533.249,0.89498,1.25137,1.14621,0.65286,0.81173,0.75194,0.61074,0.66091,0.88704,0.99127,0.000953,0.000953,0.000953
14,573.345,0.88996,1.22954,1.13569,0.64075,0.83983,0.75628,0.60822,0.65186,0.91667,0.97738,0.00092825,0.00092825,0.00092825
15,613.796,0.86442,1.21169,1.1251,0.67751,0.81787,0.78089,0.63335,0.63281,0.89202,0.97062,0.0009035,0.0009035,0.0009035
16,654.471,0.85204,1.1704,1.11264,0.67555,0.8612,0.80936,0.65706,0.63492,0.83927,0.98203,0.00087875,0.00087875,0.00087875
17,695.183,0.84312,1.15178,1.1136,0.65545,0.8293,0.78337,0.63433,0.6248,0.85388,0.9655,0.000854,0.000854,0.000854
18,736.871,0.81969,1.13164,1.09634,0.70346,0.78624,0.79156,0.66241,0.58032,0.79657,0.93879,0.00082925,0.00082925,0.00082925
19,778.268,0.80101,1.11169,1.09504,0.71286,0.82889,0.82606,0.69031,0.58617,0.82172,0.95479,0.0008045,0.0008045,0.0008045
20,819.922,0.79891,1.09384,1.09615,0.74914,0.81944,0.83543,0.69406,0.60721,0.75553,0.94611,0.00077975,0.00077975,0.00077975
21,860.394,0.78088,1.03041,1.07954,0.71285,0.85076,0.84842,0.71411,0.56139,0.76403,0.9383,0.000755,0.000755,0.000755
22,900.954,0.77274,1.02253,1.06855,0.74776,0.832,0.85422,0.72361,0.55674,0.71837,0.93477,0.00073025,0.00073025,0.00073025
23,941.454,0.78159,1.01912,1.07729,0.75416,0.8423,0.8769,0.75556,0.53559,0.67449,0.92217,0.0007055,0.0007055,0.0007055
